betweenness,ap
0.022727273,19.2
3.659090909,73.2
3.659090909,105.8
3.659090909,131.8
5.75,0
11.5,11.4
1.916666667,0
1.916666667,0
1.916666667,2.8
11.5,3.6
5.75,0.6
5.75,0.6
16,17
2.666666667,46
2.666666667,21
9.6,7.8
12,8
8,2.2
8,1.2
3.833333333,20.2
29.25,1
5.75,132.2
1.916666667,26.6
5.75,46.4
1.916666667,29
1.916666667,12.6
23,19.8
18.75,3.8
18.75,38
18.75,1.6
11.5,19.8
11.5,12.2
5.75,5.4
16,0
16,6
8,0.4
8,0
16,0.6
0.028409091,45.4
7.971590909,0.4
7.971590909,1.8
11.5,0.4
1.045454545,5.8
1.045454545,5.6
1.045454545,0
1.045454545,0
1.045454545,0.6
1.045454545,4.6
1.045454545,1.8
1.045454545,8.4
1.045454545,0
1.045454545,2.4
1.045454545,5.2
6.9,15.8
2.3,29.8
2.3,0
2.3,0
0.533333333,2.8
16,12.8
0.533333333,33.2
1.066666667,12.2
1.066666667,16.2
1.066666667,23.4
1.066666667,0.4
1.066666667,84.6
1.066666667,12.2
1.066666667,5.8
1.066666667,0
1.066666667,20.2
1.066666667,13.8
1.066666667,12.4
1.066666667,14.6
1.066666667,17.8
1.066666667,16
1.066666667,0
18.02777778,0.8
3.861268939,24.2
16,2.4
7.25,16.4
7.25,13.6
11.5,12.4
6.91082702,29.6
5.795770202,1.2
3.577493687,1.6
1.103219697,2
5.795770202,3
0.261363636,12
10,34.8
31.5,33.4
9.75,1.6
9.75,0.6
9.75,6.4
5.75,12.8
16,62
8,5.2
8,3.4
16,4.2
16,6.2
11.5,0
3.833333333,0
3.833333333,0
3.833333333,0.8
13.33333333,2
16,1.4
5.333333333,0.4
5.333333333,0.8
2.666666667,0.4
5.333333333,0.4
7.75,2.2
7.75,58.2
7.75,1.2
23,0.6
1.916666667,2.6
11.5,1.4
1.916666667,2.4
1.916666667,2.6
1.916666667,0
1.916666667,2.2
1.916666667,0.6
10.73863636,1.8
10.73863636,3.4
5.5,0.4
5.5,8
0.5,3
15.75,2.8
15.5,2.8
0.25,14.2
11.5,4
11.5,0.6
11.5,32.8
11.5,14.2
16,20.8
16,1.2
16,0
16,9.8
16,28.6
16,81
1.495454545,12.6
0.25,0.8
11.5,0.4
11.5,2.2
11.5,30.4
5.75,32.4
5.75,6.4
5.75,1.6
5.75,29.8
5.75,7.4
11.5,16
11.5,6.8
16,40.8
16,10.2
11.5,1.6
11.5,0
11.5,1.4
16,5.4
16,0.8
16,1.2
0.735227273,0.8
0.367613636,1.2
0.735227273,0
1.102840909,0.4
0.056818182,15.2
5.111111111,3.2
1.916666667,24.4
4.152777778,0.6
7.347222222,5
3.194444444,3.8
3.833333333,5.6
11.5,12.2
11.5,40.2
3.833333333,3.8
3.833333333,3
4.6,9
2.3,13.8
11.5,0.4
4,3
3.833333333,56
3.833333333,73
11.5,46.2
3.309659091,34.4
3.309659091,3.8
3.309659091,9.6
3.309659091,1
2.490909091,1.8
1.511363636,4
8,0.4
16,0.8
8,0.4
11.5,7.2
10,57.8
11.5,0.6
1.5,6.8
16,4.8
26.5,0
27,4.6
11.5,62.4
11.5,1.4
11.5,19.8
11.5,2.6
10.25,8.6
16,0
16,2.6
11.5,1.8
11.5,4.8
11.5,0
0.261363636,50.6
15.5,11.4
15.5,25.4
16,3.6
16,1.4
16,0
11.5,0.4
11.5,0.6
11.5,0.4
11.5,0
11.5,0.4
16,0
0.25,1.8
18.33644781,3.4
6.428114478,3.4
12.18265993,0.4
36.94722222,0
0.497727273,0.8
0.497727273,1.2
3.027777778,0.6
1,0.6
1.765909091,1.4
2.761363636,7
2.986363636,5
13.52777778,0.6
16,2
0.011363636,5.4
0.045454545,2.2
11.5,3.8
16,0.8
16,0.8
11.5,46.6
11.5,2
11.5,5.6
1.277777778,0.4
11.5,13
11.5,7.8
2.3,25.2
16.5,3.6
16.5,1116
8.25,11.2
8.25,12
4.125,28
16.5,0
5.5,0
5.5,0
5.5,2.8
8.25,0.4
8.25,0.4
32.5,2.2
32,3
12.375,8
8.25,2.2
8.25,1.2
5.5,1.4
1.805555556,26.6
4.125,48.6
5.666666667,46.4
1.805555556,29
0.25,10.8
1.805555556,12.6
16.5,20.2
16.5,0
16.5,2
16.5,0
4.125,25
16.5,14.8
4.125,27.8
4.125,19.6
16.5,7.2
16.5,1.6
6.283333333,0.4
6.283333333,0.4
0.125,0.6
7.875,45.4
16.5,3.8
11.5,0.4
11.5,1.8
13.41666667,0.4
13.41666667,4
32,1.4
5.166666667,1.2
5.166666667,2.6
16.5,4.6
3.583333333,0.4
1,0.4
12.91666667,4.2
5.5,0.6
16.5,0.6
16.5,10
8.25,12.6
8.25,3.4
0.25,53.6
5.930555556,11.8
10.83333333,12.8
1.805555556,3.2
1.805555556,6.4
1.805555556,6
1.805555556,12.2
5.930555556,8.8
16.5,9.2
4.125,96.8
11,0
5.5,0
5.5,0.4
5.5,0
5.5,0.8
16.5,12.6
16.5,1.4
16.5,0
5.5,0
5.5,0
5.5,0
16.5,1.4
16.5,7
4.125,2.4
4.125,5.4
4.125,15.4
4.125,1.6
16.5,20.6
32.5,1.8
16.5,0.8
32,3.4
0.25,59.4
0.5,39.8
16,49.8
16.5,13.4
8,1.4
8,6
0.25,2.2
15.5,4.8
15.5,1.2
16.5,0.8
8,0
8,0
16.5,25.6
16.5,19.2
16,16.2
3.2,2
3.2,3.2
3.2,4.4
3.2,1.2
3.2,1.6
3.6875,2.4
3.6875,0.4
18.6875,1.4
3.6875,1
8.604166667,2.2
5.291666667,0.4
29.75,0
16.1875,3.8
0.583333333,4.6
15.70833333,1.2
11.8125,17.2
7.875,0.8
16.5,102.6
16.5,11.4
0.055555556,12.6
0.166666667,0.8
0.291666667,6
16.5,18
16.5,0
16.5,0.4
16.5,2.2
8.25,32.4
4.125,0.4
16.5,11.6
24.75,47.4
8.25,29.8
16.5,75
16.5,55.2
16.5,9.4
16.5,8
16.5,1.4
16.5,0.4
6.283333333,0
6.283333333,0
6.283333333,0.6
7.4375,2.8
0.125,0.8
3.625,1.2
0.0625,0
3.625,0.4
16.5,7.6
9.1875,15.2
16.5,1.8
0.125,2.8
0.125,3.2
16.25,11
16.5,3.2
16.16666667,0.4
16.27777778,0
16,0
5.5,40.2
16.5,93.4
5.5,21.8
5.5,17.6
16.5,7.6
1,0
2.583333333,1.2
16.5,5.8
16.5,37.2
16.5,13.6
8.25,1.4
8.25,0.4
8.25,0
8.25,0
4.125,3
16.5,0.6
16.5,13.6
16.5,12.4
16.5,15
16.5,15.6
16.5,16
5.5,0.6
16.5,15
16.5,1.4
16.5,3.4
11,3.8
16.5,1.6
19.25,4.4
16.5,3
11,2
8.25,1.2
16.5,0
16.5,5.6
16.5,3
16.5,1
16.5,3.6
16.5,3.4
16.5,0.8
16.5,2.2
16.5,2
16.5,2.8
0.5,62
16.5,3.4
16.5,3.2
16.5,1
16.5,0
17,1
0.375,1.8
16.5,4.6
16.5,21
0.125,1.6
0.375,3
3.9375,4.6
7.833333333,1.2
7.875,6.8
16.5,2
0.25,1.2
0.583333333,9.6
2.483928571,10.8
0.25,4.4
0.055555556,0
18.35714286,3.4
2.071428571,3.4
7.555555556,0.4
41.92857143,0
2.071428571,0.8
2.071428571,1.2
14.5,1.4
14.5,1.8
0.888888889,0.6
16.88888889,0.6
0.125,1
0.3125,2
0.083333333,1.8
1.208333333,1.4
1.25,7
13.14107143,5
0.3125,0.8
15.61111111,0.6
16.5,2
0.9375,5.4
0.0625,1.2
0.5,2.2
0.125,0
24.75,0
16.5,11.4
16.5,11.2
16.5,2
16.5,2
16.5,4
16.5,1.6
16.5,2.2
16.5,0
31.41666667,0.6
16.75,57
16.5,15.6
16.5,1.4
16.5,3.2
16.5,0.6
16.5,12
0.166666667,3
0.222222222,17.8
16,0
16.5,0.4
0.166666667,6.4
16.5,9.4
14,0
0.777777778,28
14,2.2
14,3
10.5,8
7,2.2
7,1.2
1.875,10.4
1.875,8
3.75,5.2
3.75,3.6
1.875,1.8
15,2.8
15,0.6
7.25,0
3.625,0
3.625,0
15,1.2
14.77777778,20.8
0.777777778,25
42,14.8
0.777777778,27.8
0.777777778,35.6
0.777777778,12.6
0.777777778,8.8
1.737037037,17.8
0.777777778,19.6
2.8,4.4
14,1.2
2.8,1.4
2.8,0
2.8,0.4
2.8,2
14,0
1.555555556,0
9.333333333,0.8
4.666666667,0.4
4.666666667,1.6
4.666666667,0.8
4.666666667,1
14,13.8
14,2.4
15,51.4
15,18.6
14,0.8
4.083333333,24.2
14,2.4
2.916666667,29.6
3.5,1.2
2.916666667,1.6
1.166666667,2
3.5,3
15,1
15,65.4
7.5,5
5.625,7
3.75,8
22.5,12.6
7.5,4
30,1.4
14,0
14,0
14,0.6
14,0
4.666666667,0
4.666666667,0
4.666666667,0
14,1.4
30,7
15,8.4
7.5,2.4
7.5,5.4
7.5,15.4
7.5,1.6
7.5,14.6
7.5,20.6
15,14.4
15,6.8
3.75,22.8
3.75,0.6
3.75,20
3.75,5.4
14,3.2
14,1.6
14,16
15,16.8
15,15.6
15,4.6
15,0.4
15,1.2
5,0.4
5,1.6
5,4.4
30,5.8
15,32.8
15,14.2
3.5,2.4
3.5,0.4
14,0.4
3.5,1.2
3.5,1.4
14,0
15,2
7.5,0
7.5,0
14,12
15,20.8
15,0
15,35
7.5,0
7.5,0
14,0
2.8,0
2.8,0.8
2.8,0.8
2.8,0
14,1.8
2.8,0
5.25,3.8
3.5,1.2
3.5,0.8
14,20.6
6.144444444,18.4
14.77777778,7.6
0.777777778,7.2
0.777777778,6.4
0.777777778,20.8
0.777777778,26.6
0.777777778,6
42,0
0.777777778,11.8
0.777777778,16.4
14,5.8
13.66666667,103.4
15,25.2
20.75,11.6
14,44.2
14,16
14,6.8
14,6.4
7,8
14,2.8
7,9.4
11.58333333,3.2
23.66666667,1.2
11.58333333,0.4
4.833333333,1.6
0.5,3
0.5,3.4
2.25,5.6
7.75,0.4
2.5,0
7.25,0
7,12.2
2.25,3.8
2.25,3
1.555555556,0
1.555555556,0
1.555555556,0.8
1.555555556,0
1.555555556,0
1.555555556,0
1.555555556,0
1.555555556,0.4
14,0.4
3.5,3
14,0.6
3.5,34.4
3.5,3.8
3.5,9.6
3.5,1
15,36.4
15,12.4
14,17.8
7.5,0
15,3.8
7.5,2.8
7.5,0.4
15,0.8
7.5,0.4
15,8.8
7.5,6.8
7.5,0.4
15,6.8
14,4.8
14,7.2
14,0
14,16.2
14,37.4
7,8.2
7,4.6
14,0.8
15,10.2
15,1.8
15,22.2
15,11.4
15,13.6
30,1.4
15,7.2
15,0.4
14,27.2
14,32.8
14,12.8
15,21
14,1
14,7.4
2.916666667,4.6
3.5,1.2
2.916666667,2.4
3.5,0
2.916666667,1.2
14,2.2
15,75.6
15,21.6
7.25,12.4
15,46.6
4.833333333,2
14,1.6
15,1.4
15,3.2
15,0.6
0.5,1.6
14,3
3,17.8
0.75,2.4
2.25,2.8
2.25,1.8
2.25,0
2.25,0
2.25,1
15,10.8
14,0.4
16.5,0
1.25,10.2
5.166666667,0
5.166666667,17.4
16.5,19.8
5.166666667,0
16.5,0
3.4,28
15,3.6
7.5,0.6
7.5,0.6
16.5,8
8.25,2.2
8.25,1.2
16.5,29.4
0.5,21.8
15,2.4
7.25,3.4
5.333333333,49.8
20.33333333,4.6
14.75,2
19.06666667,14.8
0.166666667,8.8
3,4.4
15,1.2
3,1.4
3,0
3,0.4
3,2
16.5,13.8
16.5,35.6
16.5,2.4
16.5,3.2
16.5,33.2
16.5,12.2
14.83333333,2.6
15,14.4
9.9,0
6.6,0
6.6,0.4
6.6,0
3.3,0.8
16.5,2.2
16.5,1.2
15,1.4
9.375,0
5.625,3
3.75,0.6
3.75,1.2
3.75,0
15,147
15,9
2.9,0
0.725,2.4
0.725,5.2
6.525,1.6
0.725,2.6
2.9,10.4
2.9,7.2
2.9,2.6
5.5,8
8.25,1
2.75,0.4
5.5,0.4
2.75,1.8
8.25,0.4
15,7
3.75,2.4
3.75,5.4
3.75,15.4
3.75,1.6
16.5,1.4
0.5,186.2
16,191
15,16.8
15,4.6
0.083333333,33.6
15,13
7.25,1.6
15,10.4
3.325,29.4
1.6,8.6
1.6,6.2
1.066666667,2.6
1.066666667,0.4
3.2,0.4
16.5,27
14.75,1.2
0.083333333,7.2
0.083333333,8
8.125,2
8.125,1.6
15,6.6
15,10.8
5.166666667,11.6
4.791666667,8
0.25,9.8
0.166666667,7.8
5.166666667,10.8
5.166666667,28
4.791666667,5.6
16.5,4.6
4.791666667,12.6
4.791666667,2.6
1.75,12.2
1.75,4.2
1.75,1
1.75,8.6
1.75,0.4
1.75,0.4
1.75,3
1.75,0
15,7
7.25,0.4
15,0.4
37.75,12
16.5,9.8
16.5,28.6
14.5,0.6
14.5,0
8,3.8
16.5,4.6
8,9
4,1.2
4,0.8
15,11.8
15,2.8
16.5,20.6
0.166666667,7.6
16.33333333,2
18.9,0
0.166666667,5.2
15,136.2
1.666666667,103.4
1.666666667,78
4.166666667,25.2
7.5,10.4
5,11.6
16.5,12.2
16.5,39.4
8.166666667,0.6
8.166666667,5
10,5.6
7.25,0
30,12.2
30.5,40.2
10,3.8
10,3
15,0
15,0
15,50.8
15,99
16.5,1.2
16.5,13.6
8.25,1.4
8.25,0.4
8.25,0
8.25,0
16.5,3.2
15,0
15,277.8
8.25,1141
16.5,7.2
16.5,8.6
16.25,9.4
16.5,1.4
3.75,0
16.5,1.4
16.5,4.8
2.9,0.4
16.5,64.2
16.5,433.6
15,3.4
15,0.8
15,2.2
15,2.8
15,1.6
15,20
14.5,10.2
14.5,1.8
15,10.8
16,219
16,59.2
16,267.6
9.975,8.2
9.6,5
16.5,12.6
1.066666667,2.4
7.5,4
7.5,2
15,1.6
0.25,62
23.75,27.2
15,16
59,32.8
16.5,27.4
44.5,12.8
16.5,5.6
8,3
15,3.8
15,5
7.5,3.4
7.5,0.4
15,0
15,0.6
5,12.4
16.5,3.8
16.5,1.6
5,4.6
16.5,1.2
16.5,0.8
16.5,0.8
16.5,2
15,100.6
15,1.6
15,1.6
0.166666667,51.8
7.25,2.8
15,14.6
16.5,0.4
16.5,7.8
7.25,0
7.25,1
15,80.8
15,6.8
